ID,파일명,대주제,불공정 약관 원문,시정 요청 사유,근거 조항(약관법),수정 후 약관 조항
V-001,AI_Generated_Data,면책조항의 금지,회사는 어떠한 피해배상도 하지 않는다.,사업자의 고의 또는 중과실로 인한 손해배상 책임을 포함한 모든 책임을 포괄적으로 면제하는 조항은 무효입니다.,약관법 제7조,"회사는 법령상 허용되는 범위 내에서 책임을 부담하며, 회사의 고의 또는 중과실로 인한 손해는 법률에 따라 배상합니다."
V-002,AI_Generated_Data,면책조항의 금지,서비스 이용으로 발생한 모든 손해에 대해 회사는 일절 책임지지 않는다.,고객에게 발생한 손해에 대해 사업자의 책임을 이유 없이 포괄적으로 면제하는 조항입니다. 사업자는 자신의 귀책사유로 인한 손해에 대해서는 배상 책임을 져야 합니다.,약관법 제7조,회사는 회사의 귀책사유로 인하여 회원에게 손해가 발생한 경우 관련 법령에 따라 배상 책임을 집니다.
V-003,AI_Generated_Data,일반원칙,회원은 게시물을 등록함과 동시에 해당 게시물의 모든 저작권을 회사에 양도한 것으로 간주한다.,"회원의 저작물에 대한 이용 허락은 서비스 제공에 필요한 최소한의 범위 내에서 이루어져야 함에도, 고객의 저작권을 포괄적으로 양도받는 불공정 조항입니다.",약관법 제6조,"회사는 회원의 게시물을 서비스 내 노출 등 서비스 제공 목적에 한하여 필요한 범위 내에서 사용할 수 있으며, 별도의 영리 목적 이용 시에는 회원에게 사전 동의를 받습니다."
V-004,AI_Generated_Data,"계약의 해제,해지",회사는 사전 통보 없이 언제든지 회원의 자격을 박탈할 수 있다.,"고객에게 부여된 해지/해제권을 상당한 이유 없이 배제하거나, 사업자에게 일방적인 해지권을 부여하는 조항입니다. 고객에게 시정 기회를 부여해야 합니다.",약관법 제9조,"회사는 회원이 본 약관을 위반하는 등 중대한 사유가 발생하는 경우, 회원에게 서면 통지하고 14일 이상의 시정 기간을 부여한 후 계약을 해지할 수 있습니다."
V-005,AI_Generated_Data,"손해배상액의 예정
계약의 해제,해지",이미 결제된 이용료는 어떠한 경우에도 환불되지 않는다.,"고객의 사정으로 계약이 해지되는 경우에도 고객은 잔여 기간에 대한 환불을 요구할 권리가 있으나, 이를 일방적으로 금지하고 있습니다.","약관법 제8조
약관법 제9조","회원의 귀책사유로 계약이 해지되는 경우, 회사는 전체 이용금액에서 이용일수에 해당하는 금액을 공제한 잔액을 환불합니다. (단, 위약금이 발생할 수 있습니다)"
V-006,AI_Generated_Data,면책조항의 금지,"데이터 유실에 대해 회사는 어떠한 책임도 지지 않으며, 백업은 전적으로 고객의 책임이다.","회사가 제공하는 서비스임에도 불구하고 데이터 보관/백업 의무를 다하지 않고, 데이터 유실에 대한 책임을 전적으로 고객에게 전가하는 불공정 조항입니다.",약관법 제7조,"회사는 안정적인 서비스 제공을 위해 데이터를 백업할 의무를 지며, 회사의 과실로 데이터가 유실된 경우 관련 법령에 따라 책임을 집니다."
V-007,AI_Generated_Data,채무의 이행,"회사는 공지 없이 서비스의 중요한 내용을 변경할 수 있으며, 이에 대해 회원은 이의를 제기할 수 없다.","서비스의 중요 내용을 변경할 때에는 고객에게 미리 통지해야 함에도, 통지 절차를 생략하고 고객의 이의제기권을 원천적으로 차단하고 있습니다.",약관법 제10조,"회사가 서비스의 중요한 내용을 변경하는 경우, 변경 7일 전에 공지하며 회원에게 불리한 변경의 경우 30일 전에 공지하고 동의를 받습니다."
V-008,AI_Generated_Data,소송 제기의 금지 등,회원은 어떠한 경우에도 회사를 상대로 소송을 제기할 수 없다.,고객의 소송 제기 권리 등 법률상의 권리를 상당한 이유 없이 배제하거나 제한하는 조항입니다.,약관법 제14조,본 계약에 관한 분쟁은 민사소송법상의 관할 법원에 제소할 수 있습니다.
V-010,AI_Generated_Data,고객의 권익 보호,회원이 작성한 게시물의 저작권은 별도의 동의 없이 회사가 소유한다.,"저작권법상 회원에게 보장된 저작권을 상당한 이유 없이 사업자에게 포괄적으로 귀속시키는 조항으로, 법률에 따른 고객의 권리를 부당하게 제한합니다.",약관법 제11조 제1호,"회사는 회원의 게시물을 서비스 제공 목적 내에서만 사용하며, 영리 이용 시 회원 동의를 받습니다."
V-011,AI_Generated_Data,고객의 권익 보호,"회원은 모든 게시물 권리를 회사에 양도해야 하며, 철회할 수 없다.","서비스 제공에 필요한 범위를 넘어 회원의 저작재산권을 일방적으로 양도하고 철회권까지 제한하는 조항으로, 법률에 따른 고객의 권익을 침해합니다.",약관법 제11조 제1호,"회사는 게시물 사용 범위를 서비스 제공 목적 내로 제한하며, 별도 상업적 사용 시 동의를 받습니다."
